date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:07	2574/2574	---M-Z	200	added ('OK')	text/plain	etag:%221e811df-4abb-55d9d47b169d8%22	http://123.hp-setup.com/robots.txt		(from )
14:04:08	47301/47301	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Dec%202017%2010:05:00%20GMT	http://123.hp-setup.com/	C:/My%20Web%20Sites/123HP/123.hp-setup.com/index.html	(from )
14:04:09	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2031%20Dec%202017%2008:34:09%20GMT	http://123.hp-setup.com/xmlrpc.php	C:/My%20Web%20Sites/123HP/123.hp-setup.com/xmlrpc.0.delayed	(from http://123.hp-setup.com/)
14:04:09	9303/9303	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2009:38:55%20GMT	http://123.hp-setup.com/wp-content/uploads/2016/12/hp-officejet-pro-7740-scan-printer.jpg	C:/My%20Web%20Sites/123HP/123.hp-setup.com/wp-content/uploads/2016/12/hp-officejet-pro-7740-scan-printer.jpg	(from http://123.hp-setup.com/)
14:04:10	2108/2108	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Dec%202017%2007:52:47%20GMT	http://123.hp-setup.com/wp-content/cache/wpfc-minified/7a75f4fac99ccd84666034c3a06ae2b0/1514447567index.css	C:/My%20Web%20Sites/123HP/123.hp-setup.com/wp-content/cache/wpfc-minified/7a75f4fac99ccd84666034c3a06ae2b0/1514447567index.css	(from http://123.hp-setup.com/)
14:04:11	813/813	---M-Z	200	added ('OK')	application/rss+xml	etag:%2202f35ab70dc6660de5aad1ff5e8b97c9%22	http://123.hp-setup.com/feed/	C:/My%20Web%20Sites/123HP/123.hp-setup.com/feed/index.html	(from http://123.hp-setup.com/)
14:04:11	704/704	---M-Z	200	added ('OK')	application/rss+xml	etag:%220ac3044f902f4ac8fdc9fd4f142a9f19%22	http://123.hp-setup.com/comments/feed/	C:/My%20Web%20Sites/123HP/123.hp-setup.com/comments/feed/index.html	(from http://123.hp-setup.com/)
14:04:11	98309/98309	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Dec%202017%2007:52:47%20GMT	http://123.hp-setup.com/wp-content/cache/wpfc-minified/cfdf9c016e0af492ab5489434d036aa5/1514447567index.css	C:/My%20Web%20Sites/123HP/123.hp-setup.com/wp-content/cache/wpfc-minified/cfdf9c016e0af492ab5489434d036aa5/1514447567index.css	(from http://123.hp-setup.com/)
14:04:13	830/830	---M-Z	200	added ('OK')	text/xml	date:Sun,%2031%20Dec%202017%2008:34:14%20GMT	http://123.hp-setup.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/123HP/123.hp-setup.com/xmlrpc0db0.php	(from http://123.hp-setup.com/)
14:04:13	109048/109048	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Dec%202017%2007:52:48%20GMT	http://123.hp-setup.com/wp-content/cache/wpfc-minified/d6c6db296c86e46097a98450c148dca9/1514447568index.js	C:/My%20Web%20Sites/123HP/123.hp-setup.com/wp-content/cache/wpfc-minified/d6c6db296c86e46097a98450c148dca9/1514447568index.js	(from http://123.hp-setup.com/)
14:04:14	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2001:19:12%20GMT	http://123.hp-setup.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/123HP/123.hp-setup.com/wp-includes/wlwmanifest.xml	(from http://123.hp-setup.com/)
14:04:15	2196/2196	---MC-	200	added ('OK')	application/json	date:Sun,%2031%20Dec%202017%2008:34:15%20GMT	http://123.hp-setup.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2F123.hp-setup.com%2F	C:/My%20Web%20Sites/123HP/123.hp-setup.com/wp-json/oembed/1.0/embed9f74.json	(from http://123.hp-setup.com/)
